population,access_rate,beta,pfpr_under5,pfpr_2to10,pfpr_all
10.0,0.366,0.005,0.0,0.0,0.0
10.0,0.366,0.01,0.0,0.0,0.0
10.0,0.41600000000000004,0.005,0.0,0.0,0.0
10.0,0.41600000000000004,0.01,0.0,0.0,0.0
10.0,0.446,0.005,0.0,0.0,0.0
10.0,0.446,0.01,0.0,0.0,0.0
10.0,0.46,0.005,0.0,0.0,0.0
10.0,0.46,0.01,0.0,0.0,0.0
10.0,0.465,0.005,0.0,0.0,0.0
10.0,0.465,0.01,0.0,0.0,0.0
10.0,0.46799999999999997,0.005,0.0,0.0,0.0
10.0,0.46799999999999997,0.01,0.0,0.0,0.0
10.0,0.48,0.005,0.0,0.0,0.0
10.0,0.48,0.01,0.0,0.0,0.0
10.0,0.494,0.005,0.0,0.0,0.0
10.0,0.494,0.01,0.0,0.0,0.0
10.0,0.502,0.005,0.0,0.0,0.0
10.0,0.502,0.01,0.0,0.0,0.0
10.0,0.5329999999999999,0.005,0.0,0.0,0.0
10.0,0.5329999999999999,0.01,0.0,0.0,0.0
10.0,0.54,0.005,0.0,0.0,0.0
10.0,0.54,0.01,0.0,0.0,0.0
10.0,0.569,0.005,0.0,0.0,0.0
10.0,0.569,0.01,0.0,0.0,0.0
10.0,0.573,0.005,0.0,0.0,0.0
10.0,0.573,0.01,0.0,0.0,0.0
10.0,0.585,0.005,0.0,0.0,0.0
10.0,0.585,0.01,0.0,0.0,0.0
10.0,0.594,0.005,0.0,0.0,0.0
10.0,0.594,0.01,0.0,0.0,0.0
10.0,0.608,0.005,0.0,0.0,0.0
10.0,0.608,0.01,0.0,0.0,0.0
10.0,0.638,0.005,0.0,0.0,0.0
10.0,0.638,0.01,0.0,0.0,0.0
10.0,0.853,0.005,0.0,0.0,0.0
10.0,0.853,0.01,0.0,0.0,0.0
20.0,0.366,0.005,0.0,0.0,0.0
20.0,0.366,0.01,0.0,0.0,0.0
20.0,0.41600000000000004,0.005,0.0,0.0,0.0
20.0,0.41600000000000004,0.01,0.0,0.0,0.0
20.0,0.446,0.005,0.0,0.0,0.0
20.0,0.446,0.01,0.0,0.0,0.0
20.0,0.46,0.005,0.0,0.0,0.0
20.0,0.46,0.01,0.0,0.0,0.0
20.0,0.465,0.005,0.0,0.0,0.0
20.0,0.465,0.01,0.0,0.0,0.0
20.0,0.46799999999999997,0.005,0.0,0.0,0.0
20.0,0.46799999999999997,0.01,0.0,0.0,0.0
20.0,0.48,0.005,0.0,0.0,0.0
20.0,0.48,0.01,0.0,0.0,0.0
20.0,0.494,0.005,0.0,0.0,0.0
20.0,0.494,0.01,0.0,0.0,0.0
20.0,0.502,0.005,0.0,0.0,0.0
20.0,0.502,0.01,0.0,0.0,0.0
20.0,0.5329999999999999,0.005,0.0,0.0,0.0
20.0,0.5329999999999999,0.01,0.0,0.0,0.0
20.0,0.54,0.005,0.0,0.0,0.0
20.0,0.54,0.01,0.0,0.0,0.0
20.0,0.569,0.005,0.0,0.0,0.0
20.0,0.569,0.01,0.0,0.0,0.0
20.0,0.573,0.005,0.0,0.0,0.0
20.0,0.573,0.01,0.0,0.0,0.0
20.0,0.585,0.005,0.0,0.0,0.0
20.0,0.585,0.01,0.0,0.0,0.0
20.0,0.594,0.005,0.0,0.0,0.0
20.0,0.594,0.01,0.0,0.0,0.0
20.0,0.608,0.005,0.0,0.0,0.0
20.0,0.608,0.01,0.0,0.0,0.0
20.0,0.638,0.005,0.0,0.0,0.0
20.0,0.638,0.01,0.0,0.0,0.0
20.0,0.853,0.005,0.0,0.0,0.0
20.0,0.853,0.01,0.0,0.0,0.0
